title,description,date
Covid-19: Johnson warns England's lockdown won't end 'with a bang',"There will be a ""gradual unwrapping"" of England's lockdown, Boris Johnson tells MPs ahead of a vote later.","Wed, 06 Jan 2021 12:51:01 GMT"
Georgia election: Democrats on course for Senate control,The party of President-elect Joe Biden is narrowly ahead in two run-off elections in Georgia.,"Wed, 06 Jan 2021 10:42:49 GMT"
Albert Roux: Chef and culinary 'legend' dies aged 85,"Gordon Ramsay remembers late chef Albert Roux as ""the man who installed gastronomy in Britain"".","Wed, 06 Jan 2021 11:36:34 GMT"
Covid-19: West Midlands Ambulance Service records busiest day,"One hospital boss said a two-week ""lag"" meant things could get worse before they get better.","Wed, 06 Jan 2021 11:06:44 GMT"
Cancelled GCSEs and A-levels in England must avoid 'shambles',"Head teachers warn replacement grades for GCSEs and A-levels must not repeat last year's ""disaster"".","Wed, 06 Jan 2021 12:11:51 GMT"
"Covid-19: 'Very little' virus risk at nurseries, says vaccine minister","The vaccine minister defends the decision to keep nurseries open, as unions call for a shutdown.","Wed, 06 Jan 2021 13:08:07 GMT"
Former banker Richard Sharp to be next BBC chairman,He will lead negotiations with the government over the future of the licence fee.,"Wed, 06 Jan 2021 12:16:26 GMT"
Milton Keynes house party murders gang jailed for life,Five males raided a party in a revenge attack and stabbed two 17-year-olds to death.,"Wed, 06 Jan 2021 13:01:04 GMT"
Greggs faces first loss for 36 years as lockdown bites,The bakery chain says it does not expect profits to return to pre-Covid levels until 2022 at the earliest.,"Wed, 06 Jan 2021 10:44:56 GMT"
FTSE 100 chief executives 'earn average salary within 3 days',FTSE 100 chiefs will by Wednesday have earned more this year than the average worker's annual wage.,"Wed, 06 Jan 2021 00:12:38 GMT"
Dr Dre: Rap legend in hospital after brain aneurysm,"The hip-hop star and producer says he is ""doing great"" and ""getting excellent care"".","Wed, 06 Jan 2021 07:54:10 GMT"
Eric Jerome Dickey: Best-selling US author dies at 59,He wrote 30 novels about relationships and adventures involving young African American characters.,"Wed, 06 Jan 2021 10:09:20 GMT"
"Motor neurone disease: The man losing his voice, but singing an opera","Paul Jameson has motor neurone disease, but with the help of a professional baritone, is singing his own opera.","Wed, 06 Jan 2021 09:07:44 GMT"
Nicaraguan zoo shows off white tiger cub Nieves,Nieves was born to a black-and-yellow mother carrying the recessive gene that causes white fur.,"Wed, 06 Jan 2021 11:59:30 GMT"
Islanders help rescue orca stranded on Orkney beach,Volunteers led the rescue effort to save the young 11ft-long stranded orca in Orkney.,"Wed, 06 Jan 2021 12:23:26 GMT"
Curiosity rover: Watching an eclipse from Mars,What do eclipses look like on Mars? Nasa rovers see the planet's moons pass in front of the Sun.,"Wed, 06 Jan 2021 12:59:18 GMT"
Parents and students react to school closures in England,Parents spoke to the BBC after Monday's announcement about school closures in England.,"Wed, 06 Jan 2021 00:07:41 GMT"
"A tourist, in Afghanistan?","Conflict has made Afghanistan an unlikely tourist destination, but a blogger is bucking the trend.","Wed, 06 Jan 2021 00:02:38 GMT"
Coronavirus: Your tributes to those who have died,A collection of your tributes to some of the thousands of people in the UK who have died with coronavirus.,"Mon, 14 Dec 2020 10:58:08 GMT"
Palm cockatoo: Why a unique ‘drumming’ bird is in peril,The palm cockatoo is thought to be the only bird to use tools musically to attract a mate.,"Wed, 06 Jan 2021 00:05:14 GMT"
"Stuck in Taiwan, a Brit spearheads campaign to clean up river",Peter Lowe noticed the problem after getting stuck in Taiwan during the pandemic.,"Wed, 06 Jan 2021 01:08:06 GMT"
Lockdown: 'Why haven't our BTec exams been cancelled too?',Students say there's confusion and fear over being told their exams are going ahead.,"Wed, 06 Jan 2021 10:32:39 GMT"
Lagos Third Mainland Bridge: Six months of traffic woe in Nigeria,Commuters in Nigeria's most populous city have been dealing with the partial closure of a busy link.,"Wed, 06 Jan 2021 00:36:48 GMT"
Covid lockdown: Joe Wicks online PE classes to return next week,"The personal trainer says he wants to ""give children structure"" during lockdown.","Tue, 05 Jan 2021 15:50:43 GMT"
Nicola Sturgeon: 'Donald Trump should not visit Scotland to golf',Scotland's first minister said coronavirus rules mean only essential travel is allowed.,"Tue, 05 Jan 2021 18:32:32 GMT"
Analysis: Can lockdown stop the new coronavirus variant?,There are concerns the new variant may spread too easily to be controlled by lockdown.,"Wed, 06 Jan 2021 00:47:14 GMT"
Covid: 12 life tasks in lockdown - what has changed?,From registering a birth to getting a plumber. not everything is the same as during the first lockdown.,"Wed, 06 Jan 2021 00:19:30 GMT"
